description,label_history,label_food,label_adventure,label_culture,label_nature,label_relaxation,label_shopping,label_nightlife,label_family,label_local_experience,label_luxury,label_budget_conscious,label_accessibility,label_early_riser,label_night_owl,label_off_beaten_path,label_instagram_worthy,label_needs_breaks,label_sustainable,label_vegetarian,label_group_activities
"I love exploring nature, especially places that are photogenic enough for Instagram.  I also enjoy trying local foods and learning about the history of a place, but  a luxurious experience with some fun group activities really elevates the trip.",1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"I'm looking for a city with a vibrant nightlife scene and a deep dive into the local culture, preferably somewhere that offers amazing restaurants with delicious vegetarian options and a touch of luxury.",0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"I love finding unique shops, especially ones that are great for photos.  My family loves nature walks, but we need plenty of downtime in between, and I'm definitely a night person, so I'm looking for places with vibrant evening scenes.",0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0
"I'm really into finding places with amazing local food and vibrant nightlife, but I prioritize sustainable practices and want to experience the culture in a way that supports the local community.  Plus, I'm a night owl, so I love it when the city or town stays lively late into the night.",0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
"I love exploring local markets and finding unique souvenirs, immersing myself in the local culture is a must, but I also need some thrilling activities.  I'm a night person, so I appreciate places that stay open late, and I always try to choose eco-friendly options and high-end accommodations when I travel.",0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"I love soaking up the history and culture of a place, wandering around markets and finding unique souvenirs.  I'm usually up late exploring, and I always try to find the most Instagrammable spots, but I'm also on a tight budget, so I look for good deals and try to avoid overspending.",1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"I'm really interested in experiencing the local culture and trying some delicious vegetarian food.  Group tours would be great, and I love browsing local markets for unique souvenirs.",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
I love waking up before the sun to explore hidden gems and snap some Instagram-worthy photos.  My ideal vacation involves a good balance of delicious food and plenty of downtime to relax and recharge.,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"I love a city with a rich history to explore, but I also need some downtime for relaxation and great shopping.  Plus, I'm always looking for luxurious experiences and places that are photo-worthy, but I also need breaks throughout the day to recharge and enjoy the local nightlife.",1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0
"I'm looking for an adventurous trip that's affordable and accessible, ideally with lots of vegetarian options.  Food is a big part of the experience for me, and I want to try local specialties without breaking the bank.",0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
"I love soaking up the local culture, hitting up the best nightlife spots, and finding amazing shops.  Plus, I'm an early riser, so I'm always excited to experience the city before the crowds.",0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"I love getting up early to explore hidden gems in nature, and then spending my days relaxing and enjoying the local vegetarian cuisine.  Plus, I'm always looking for a good night out, but preferably somewhere a little less touristy.",0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
"I love exploring local cultures and finding hidden gems, especially those perfect for Instagram.  Nature is important to me too, and I'm always looking for a place with beautiful scenery, and of course, some good vegetarian restaurants.  Plus, I enjoy a vibrant nightlife scene and some great shopping!",0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"I love exploring new places with my family, and we always enjoy finding unique local shops.  Luxury accommodations are a must, and we're happy to stay up late to soak in the atmosphere of a new city.",0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0
"I love traveling with my family, and we always try to soak up the local culture, which is a big priority for us.  We also need plenty of downtime to relax, especially in places with stunning natural beauty. Plus, I'm not one for early nights, so I like destinations with lots of evening opportunities to explore and savour the local food!",1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
"I'm looking for a place with a good nightlife scene, but also plenty of opportunities to chill out and relax.  I'm traveling with a group, and we're on a tight budget, so vegetarian options are a must.  We'd love to find some fun group activities to do together.",0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
"I'm looking for a place with vibrant nightlife, but also plenty of opportunities to unwind and connect with nature.  Group activities that are eco-friendly would be ideal, and I'd prefer a vegetarian-friendly option, too.",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
"I'm really into finding places off the usual tourist trail,  looking for restaurants with fresh, local ingredients, and a vibrant nightlife scene that's not overly hyped.  Sustainable practices are a must for me as well.",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"I'm looking for a destination with a vibrant nightlife scene, but also a chance to immerse myself in the local culture.  I'd love some off-the-beaten-path adventures, and of course, plenty of opportunities for great vegetarian food and high-end shopping.",0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0
"I'm looking for a city with some great shops, a lively nightlife scene, and plenty of outdoor spaces to explore.  Ideally, it would be somewhere that's easy to get around, and where I can find some good deals on activities and accommodations.",0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"I love browsing markets and finding unique souvenirs, but I also need a lot of downtime to recharge.  Luxury accommodations are a must for me, so I can relax and unwind after a day of exploring the local culture.",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"I love exploring places steeped in history,  even the ones off the main tourist trail.  I'm also a night person, so I like destinations that offer plenty to do after the sun goes down, and I want someplace relaxing enough to spend quality time with my family.",1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"I'm looking for a relaxing trip focused on experiencing local culture, preferably with some Instagram-worthy spots, and I'll need vegetarian options to be easily accessible.",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"I love immersing myself in the local culture and discovering hidden gems.  Nature is essential to me, so I'm looking for places with stunning scenery, and I'd prefer a luxurious experience that elevates the whole trip.",0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"We're a family looking for a place with vibrant nightlife and interesting local culture, but we also want to keep it affordable.  Group activities that include everyone are a must, and we're all pretty keen on finding vegetarian options.",0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1
I'm really looking for a trip that blends cultural immersion with stunning natural beauty.  I like to have a chance to unwind and relax between activities and enjoy some group tours to meet new people.,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"I love getting up early to enjoy the sunrise and peaceful mornings in nature, and I'm always looking for good, affordable food.  Relaxation is key, but I want to find unique experiences and beautiful scenery.",0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"I love exploring local markets and finding unique souvenirs, and I'm always up for a guided tour to learn about the history of a place.  I'd prefer to go somewhere off the beaten path and enjoy group activities with like-minded people, and I'm happy to eat vegetarian food.",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"I love exploring historical sites, and I'm always up for a thrilling adventure.  I'm particularly drawn to places that prioritize sustainability and offer a good selection of vegetarian options, and of course, I like to pick up some unique souvenirs along the way.",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"I'm really looking for a place that lets me soak up the local culture and experience the food scene firsthand.  Sustainable practices are important to me, and I want a destination that's easy to get around, whether it's by foot or public transport.  Relaxing by a pool or on a beach sounds lovely too!",0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"I'm looking for a trip that blends stunning natural beauty with opportunities to learn about the local history.  Ideally, it would be somewhere that prioritizes sustainable practices, while offering a luxurious experience that allows for plenty of relaxation and delicious, local food.",1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"We're looking for a family-friendly destination with good nightlife options,  something that's easy to get around, and that won't break the bank.  We love adventures, but want something that's accessible for everyone.",0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"We're looking for a family-friendly trip with beautiful scenery, and someplace where we can enjoy delicious local food without breaking the bank.  Sustainable practices are important to us, too.",0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"I love exploring new places, especially those with a focus on eco-friendly practices.  I'm always looking for unique spots that make great Instagram photos, and I'm up for late-night adventures to find the best hidden gems.",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
"I'm looking for a place with vibrant nightlife, ideally with a focus on sustainable practices.  I'm a night owl, so late-night eats and lively bars are a must, and I'd love to find some group activities to share with fellow travelers.",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
"I'm looking for a place with delicious vegetarian options, especially if they highlight local cuisine.  I'm a night owl, so a vibrant nightlife scene is a must, and ideally, somewhere family-friendly, too, with a good mix of shopping opportunities.",0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0
"I'm an early bird, so I love hitting the historical sites before the crowds and grabbing a delicious breakfast at a local cafe.  I also enjoy browsing the shops in the afternoon, but I need places that are easy to navigate, as mobility isn't always easy for me.",1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"I love delving into a place's past, and good food is a must.  I like to find the less-traveled spots, but I also need some downtime built in, so I can really appreciate the experiences.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"I love exploring new places, especially those with a rich history and vibrant culture.  I'm always looking for opportunities for thrilling adventures, and I'm a creature of the night, so finding amazing spots with good nighttime vibes is a must.  Plus, I'm all about creating Instagram-worthy memories wherever I go.",0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"I love a good nightlife scene, but I also need some time to soak up the beauty of nature.  I'm looking for unique local experiences that will feel luxurious and, of course, photograph well on Instagram.",1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
"I'm looking for a city with a vibrant nightlife scene, especially places that stay open late, and a rich cultural experience.  I'm also hoping to find some good vegetarian options, since I'm trying to eat more plants, and places that prioritize sustainable practices.",0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
"I love exploring new places, especially those with incredible natural beauty and rich cultures.  I'm always up for a thrilling adventure and soaking in the local cuisine, but I also value a touch of luxury and finding those perfect photo-worthy spots, preferably before sunrise.",0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"I love trying local food markets and finding unique souvenirs, and I'm an early bird, so I'm always up for hitting the shops before the crowds.  Just be sure there are some nice spots to sit and recharge during the day; I need those breaks to truly appreciate everything.  And, of course, a few photo-worthy locations would be a huge plus!",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
"I love exploring with my family, trying all the local eats, and soaking up the vibrant nightlife, but I also like to get up early to catch the best light for some Instagram-worthy photos.",0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
"I love exploring a city's history, and finding unique local shops with great deals for the whole family.  Early mornings let us hit the best markets and get the freshest food, making the most of our budget.",1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0
"I love soaking up the local culture and history, especially when it's family-friendly.  Relaxing by the pool is a must, but I also want to find some great places to shop, and hopefully snap a few Instagram-worthy pictures along the way.",1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
"I love exploring off the beaten path, and getting up early to beat the crowds is key for us.  We're a family who enjoys a good adventure, and we're always looking for ways to keep costs down.",0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
"I love exploring off-the-beaten-path spots and finding hidden gems.  I also enjoy group activities like cooking classes or hiking tours in nature, and definitely prefer to stay up late to experience the nightlife,  but good food is a must, and a little souvenir shopping is always part of my adventure.",0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
"I'm always looking for stunning natural landscapes to photograph—places that are perfect for Instagram.  And of course, amazing food is a must, preferably in a luxurious setting.",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"I'm looking for a city with a vibrant nightlife, good shopping, and delicious food, ideally with some accessible options.  I also need to be able to take breaks throughout the day, and I prefer places with lots of vegetarian choices.",0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0
"I love exploring local markets for unique souvenirs, trying out all the vegetarian options I can find, and soaking up the local culture.  Relaxing by the river after a day of sightseeing is a must, and I'm always looking for great food deals.",0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"I'm looking for a trip that prioritizes stunning natural scenery and delicious local food.  Accessibility is key, as I need some downtime and breaks built into the itinerary, and ideally, it'll be a luxurious experience.",0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"I'm looking for a city with a vibrant nightlife scene,  places steeped in history that I can explore, and of course, spots that are picture-perfect for Instagram.  Crucially, I want a good value for my money.",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"I'm looking for a family adventure that gets us off the well-trodden path, ideally somewhere with stunning natural beauty.  We love exploring new places, and the chance to enjoy top-notch accommodations and delicious local food is a must.",0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"I'm looking for a family-friendly destination with a rich history, places that are beautiful enough to post on Instagram, and some truly relaxing downtime.  Luxury accommodations would be a plus, and ideally, everything would be easily accessible for everyone in our group.",1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
"I'm looking for a place with stunning natural beauty, delicious local food, and a vibrant nightlife.  Ideally, something easily accessible and with opportunities to experience the local culture and traditions.",0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"I'm really drawn to places with a rich history and unique culture, preferably off the usual tourist trails.  A luxurious experience would make the whole trip even more special.",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"I'm looking for a destination with a vibrant nightlife scene, and ideally some adventurous activities.  Ideally, it would be somewhere a little off the typical tourist trail,  and I'd prefer something luxurious with group excursions.",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
"I love exploring off-the-beaten-path spots, and I'm up for hitting the shops and markets early in the morning to get the best deals and avoid the crowds.  Culture is super important to me, too.",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"I'm looking for a destination with a vibrant nightlife scene, but also some options for family-friendly activities.  I'd like to do some group excursions, and I'm definitely a night owl, so I need places with good late-night options, but also plenty of breaks built into the itinerary.",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1
"I love getting lost in nature, trying all the local food, and soaking up the culture.  I do need some downtime built in, and I'd really enjoy group activities that help me connect with the area.",0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"I love exploring less-traveled places, finding hidden gems where the food is delicious and fresh, ideally vegetarian options.  My family is important to me, so we'd need activities that everyone can enjoy, while still having some exciting adventures along the way.  Sustainable practices are important to me too, so I'm looking for places that are environmentally conscious.",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"I love soaking up a city's history and culture, finding Instagram-worthy spots, and getting lost in nature.  Group tours are a great way to see the sites and meet new people, and I'm always up for a late-night exploration.",1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"I love exploring a city's hidden culinary gems, soaking up the atmosphere of local markets, and finding historical sites that tell captivating stories.  Nature walks are a must, too, but I'm also a night person who appreciates a luxurious stay where I can unwind after a long day of sightseeing.",1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"I'm looking for a destination with a lively nightlife scene, but not a tourist trap.  I like places off the main path, where I can find hidden gems and experience something truly unique.  Ideally, it would be a spot where my family and I can enjoy some fun evenings out together.",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
"I'm looking for a family-friendly trip that gets us out in nature, with some exciting adventures along the way.  We're trying to be eco-friendly and stick to a reasonable budget, and ideally find some vegetarian options along the way, too.",0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0
"I'm looking for a family-friendly place with some great vegetarian options, ideally somewhere with a nice vibe for relaxing evenings, and maybe even some cool nightlife spots to explore in the evenings.  I'm also keen on places that prioritize sustainability.",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
"I'm looking for a family-friendly destination with opportunities to soak up the local culture, but I also need places to relax and recharge.  We'll need some built-in breaks, and something accessible for everyone, ideally without breaking the bank.",0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
"We're looking for a family-friendly destination with lots of outdoor activities, ideally somewhere accessible for everyone.  We'd love spots with gorgeous scenery that's perfect for Insta-worthy photos, and something fun for the whole group to do together.",0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
"I love getting out in nature, especially if it's easily accessible.  Plus, I'm always on the lookout for great food and lively nightlife, but I need to keep things affordable.",0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"I'm really drawn to places with a rich history, especially if they have some cool, Instagrammable spots.  I also like a vibrant nightlife scene, but I prefer destinations that are mindful of the environment.",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"I'm looking for a place where we can do some fun group activities together as a family, but also have some downtime for relaxation.  Luxury accommodations are a must, and something easily accessible for everyone would be great, plus plenty of shopping and vibrant nightlife options.",0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1
"I love waking up before the sun to soak in the scenery and then exploring local markets for unique finds.  I'm always looking for a place with stunning nature, delicious food, and chances to experience the local culture while finding those picture-perfect Instagram moments.",0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
"I'm looking for a relaxing trip filled with historical sites, but I'm trying to keep costs down and find places that prioritize environmental sustainability.  It's important to me that my travel doesn't harm the local areas.",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"I'm really into exploring less-traveled spots, places with a rich history and a focus on sustainability.  A big part of my trips is relaxing, but I also love discovering local food scenes and savoring authentic dishes.",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"I love soaking up the local culture, and I'm a big fan of early mornings for exploring hidden gems.  A bit of luxury shopping is a must, but relaxation and family time are also high on my list.",0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0
"I love soaking up the local culture, finding those perfect Instagrammable spots, and indulging in delicious food.  Relaxing by the pool is a must, and I'm always on the lookout for some high-end shopping experiences.",0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"I love soaking up a place's history and culture, and it's a must for me that sites are easily accessible.  Plus,  I'm always looking for those Insta-worthy spots that capture the beauty of the destination!",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"I love a good breakfast spot for a perfect start to the day, followed by a relaxing afternoon with my family.  We'll make sure to snag some photo ops for the 'gram, and then enjoy a lively evening out.",0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
"I'm looking for a place with stunning natural beauty, ideally somewhere off the typical tourist trail.  I love a good adventure, but also prioritize luxury accommodations, and I'm definitely a night owl, so a vibrant nightlife scene is a must.",0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
"I'm looking for a place with delicious, vegetarian food options, preferably off the typical tourist trail.  I also love exploring new places, whether it's hidden markets or vibrant nightlife.",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"I love exploring new places, especially those with great shops for souvenirs and unique finds.  I also need plenty of time to relax and enjoy the outdoors, and some good vegetarian options are a must.  And of course, I'm always up for a lively night out, but I also need some downtime built in.",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"I'm really looking for a trip where I can savor the local cuisine and explore amazing natural landscapes.  Plus, I need some built-in relaxation time to recharge between adventures, and I'd prefer something a bit luxurious, like a nice resort.",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"I'm really looking for a place with a rich culture to explore, ideally with family-friendly activities.  Accessibility is important, and since we're all night owls,  we're hoping for places that stay open late for us to enjoy.  Plus, I'm trying to keep it vegetarian-friendly, of course.",0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"I love exploring new places with my family, and we always make sure to get up early to hit the best sights before the crowds.  Plus,  I'm always looking for photo ops, those instagram-worthy moments, and we definitely need a place with some great nightlife options for the evenings.",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
"I'm looking for a trip that's relaxing, with lots of opportunities to try new food.  Group activities would be great, and of course, some spots that are perfect for Instagram.",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"I'm looking for a trip that prioritizes delicious, affordable food, and ideally somewhere off the typical tourist trail.  Family time is important, and I'd love a place with some fun nightlife options to explore in the evenings, without sacrificing the chance to find some incredible adventure.  Sustainability is also key for me.",0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
"I love a good adventure, especially when it involves getting out early to beat the crowds and experience the local scene.  Plus, I need a place with a vibrant nightlife for the evenings, but somewhere easy to get around is a must.",0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
"I love exploring a city's history and culture, and a good nightlife scene is a must.  I also prefer places with luxury accommodations, but I need breaks built into the schedule to relax and recharge.",1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"I'm really looking for a relaxing trip surrounded by nature, preferably somewhere with some interesting historical sites.  I'd love to get a feel for the local culture, but I'm on a tight budget.",1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"I'm looking for an adventure that's easy to get around, and I really want to try some local food while I'm there.  Group activities would be great to meet other people and experience things together.",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"I'm looking for a city with a vibrant nightlife scene, places to soak up the local history, and good opportunities for some budget-friendly shopping.  Ideally, I'd want to find spots that prioritize sustainability and offer unique local experiences.",1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0
"I'm looking for a place with stunning natural scenery, delicious local food, and opportunities to just unwind and relax.  I also really value experiences that connect me with the local culture and that prioritize sustainability.",0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"I'm always up for a thrilling hike in a beautiful natural setting, and I love to stay up late exploring the local sights after everyone else has gone to bed.  I try to stick to places that offer amazing experiences without breaking the bank.",0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"I'm looking for a place with a vibrant nightlife scene, but also somewhere family-friendly.  I'm also keen on experiencing the local culture and trying some great vegetarian food, preferably with a local restaurant recommendation.",0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
"I'm really drawn to places with a rich history and vibrant cultural scene, and I always try to choose accommodations and restaurants that prioritize sustainable practices.  Plus, I prefer vegetarian options wherever I can find them.",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"I'm looking for a trip that's affordable but still offers beautiful scenery.  I'd love to explore nature and maybe participate in some group activities while I'm there,  and something that's easy to get around in.",0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
"I love traveling with my family, soaking up the local culture and trying all the delicious food.  We're always looking for places that are good for relaxation, and prioritize sustainable practices, plus, we're hoping to find some photo-worthy spots for Instagram!  Accessibility is important to us too, so we can enjoy everything together.",0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"I'm looking for a city with a vibrant nightlife scene, places to soak up the local culture, and spots that are photo-worthy, especially if they're easily accessible.  Ideally, I'd like to find some fantastic vegetarian options while I'm there.",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
"I love getting lost in nature with my family, and we're always looking for places with stunning scenery to capture some seriously Instagram-worthy photos.  Plus, we're night owls, so we're happy to stay up late exploring.",0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"I'm looking for a family-friendly trip with plenty of time for nature walks and historical sites.  We need some downtime built in, and I'd like to find some group activities we can all enjoy together.",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"I love exploring a city's shops and buzzing nightlife, but I also need some quiet time in nature to recharge.  A luxurious stay with easy access to everything is key, and I'm definitely an early bird, so I'd like to take advantage of the sunrise hours.",0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0
